,CODE_PRODUIT,NOM,SECTEUR_CONSO,SOUS_SECTEUR_CONSO,FAMILLE_PRODUIT,SOUS_FAMILLE,VARIETE,CATEGORIE,DEPARTEMENT,MARQUE,CONDITIONNEMENT,COND_UNITE_LIBELLE_LONG,COND_UNITE_LIBELLE_COURT,GENCOD,PRIX_RELEVE,DATE_RELEVE,PROMOTION,TOP_500,TYPE_RELEVE,RAISON_SOCIALE,RIDET,TYPE_ADRESSE,NUM_VOIE,TYPE_VOIE,NOM_VOIE,COMPLEMENT_ADRESSE,QUARTIER,CODE_POSTAL,COMMUNE,LONGITUDE,LATITUDE
3441,138344,confiture abricot Andros allégée bocal 350 g,épicerie sucrée,"confiture, pâte à tartiner, miel",confiture,confiture aux fruits jaunes,confiture : abricot,IMPORT,Sec,,0.35,Kilogramme,kg,3045320008494; 3045320523416,320,2014-09-01 00:00:00.000,0,,,AUCHAN SUPERMARCHE NOUMEA ,836965001.0,PHYSIQUE,91,route,de l'Anse-Vata,,Motor Pool,,Nouméa,166.448155,-22.291739
3442,54935,eau minérale naturelle Volvic bouteille 6 x 1.5 l,boisson,boisson sans alcool,eau,eau plate,eau plate,IMPORT,Sec,Volvic,9.0,Litre,l,3057640135408; 3057640100833; 3057640229213; 3057640234019; 3057640234088; 3057640234248,990,2017-12-25 00:00:00.000,0,N,,CARREFOUR KENU IN,208595002.0,PHYSIQUE,,rue,Centre commercial Kenu-In,,Centre-Ville,,Dumbéa,166.473018,-22.222647
3443,45704,soda au cola Coca-Cola light boîte 33 cl,boisson,boisson sans alcool,soda,soda au cola,soda au cola,LOCAL,Sec,Coca Cola,0.33,Litre,l,3348630009411,135,2018-08-16 00:00:00.000,0,N,,STATION MOBIL MICHEL ANGE,1124650001.0,PHYSIQUE,95,route,de l'Anse-Vata,,Motor Pool,,Nouméa,166.447738,-22.291943
3444,134859,fromage Babybel 200 g,crémerie,fromage,fromage,fromage : autres,fromage : autres,IMPORT,Sec,,0.2,Kilogramme,kg,3073780460262; 3073780259651; 3073780815826; 3073783318195,475,2018-08-20 00:00:00.000,0,N,,KONE DISCOUNT,710921001.0,PHYSIQUE,,route,territoriale 1,,,,Koné,164.8615869,-21.061713
3445,220192,biscuit apéritif Lay's poppables sachet 141.7 g,épicerie salée,produit apéritif,produit apéritif,biscuit apéritif,biscuit soufflé,IMPORT,Sec,Lay's,0.142,Kilogramme,kg,028400216173,403,2021-04-19 00:00:00.000,0,N,A,ETABLISSEMENTS ROES,442020001.0,PHYSIQUE,,route,provinciale 1,,,,Koné,164.861788,-21.060495
3446,134638,haricot vert Bonduelle très fin 1/2 conserve 400 g,épicerie salée,conserves et bocaux,conserve de légume,conserve de légume,"conserve de légume : haricot vert, beurre",IMPORT,Sec,Bonduelle,0.4,Kilogramme,kg,3083680002561,225,2015-03-09 00:00:00.000,0,N,,CARREFOUR EXPRESS OUEMO,832956006.0,PHYSIQUE,97 ter,route,de Ouémo,,Ouémo,,Nouméa,166.477842,-22.27614
3447,134638,haricot vert Bonduelle très fin 1/2 conserve 400 g,épicerie salée,conserves et bocaux,conserve de légume,conserve de légume,"conserve de légume : haricot vert, beurre",IMPORT,Sec,Bonduelle,0.4,Kilogramme,kg,3083680002561,225,2016-03-28 00:00:00.000,0,N,,CARREFOUR MARKET Orphelinat,474460009.0,PHYSIQUE,5,rue,Gustave Flaubert,,Orphelinat,,Nouméa,166.445296,-22.283924
3448,134638,haricot vert Bonduelle très fin 1/2 conserve 400 g,épicerie salée,conserves et bocaux,conserve de légume,conserve de légume,"conserve de légume : haricot vert, beurre",IMPORT,Sec,Bonduelle,0.4,Kilogramme,kg,3083680002561,245,2017-06-07 00:00:00.000,0,N,,DISCOUNT TEARI,710921003.0,PHYSIQUE,254,lot,Green Acre,,,,Koné,164.869635,-21.071729
3449,181589,lait en poudre entier Fernleaf boîte 2.5 kg,épicerie sucrée,"sucre, farine, aide à la pâtisserie",aide à la pâtisserie,"lait concentré, en poudre",lait en poudre,IMPORT,Sec,,2.5,Kilogramme,kg,9415007005223,1570,2018-08-20 00:00:00.000,0,O,,LEADER PRICE KONE,730200001.0,PHYSIQUE,,,,,,,Koné,164.899076,-21.124103
3450,217359,terrine de lapin Jean Floc'h aux noisettes bocal 170 g,charcuterie,"pâté, rillettes, foie gras","pâté, rillettes, foie gras","pâté, rillettes, foie gras","pâté, terrine",IMPORT,Sec,Jean Floc'h,0.17,Kilogramme,kg,3434350005816,415,2023-04-05 00:00:00.000,0,N,A,CARREFOUR EXPRESS NAKUTAKOIN,832956004.0,PHYSIQUE,,route,de Nakutakoin - baie de nouré,,Baie des Citrons,,Dumbéa,166.415695,-22.173535
3451,54275,jus de fruits Oro banane/orange/pastèque bouteille 2 l,boisson,boisson sans alcool,jus de fruits et légumes,jus de fruits,jus de fruits : autres,LOCAL,Sec,Oro,2.0,Litre,l,3348630006878,359,2014-05-12 00:00:00.000,0,N,,CHAMPION DUCOS,474460003.0,PHYSIQUE,59,rue,Fernand Forest,,Ducos,,Nouméa,,
3452,139449,haricot vert Bonduelle extra-fin 4/4 conserve 800 g,épicerie salée,conserves et bocaux,conserve de légume,conserve de légume,"conserve de légume : haricot vert, beurre",IMPORT,Sec,,0.8,Kilogramme,kg,3083680074803,330,2017-03-14 00:00:00.000,0,N,,POINDIMIE DISCOUNT,631614001.0,PHYSIQUE,,route,territoriale 3,,,,Poindimié,165.333178,-20.937187
3453,183023,pêche au sirop Leader Price moitié 4/4 conserve 820 g,épicerie sucrée,"compote, crème dessert, fruit au sirop","compote, crème dessert, fruit au sirop",fruit au sirop,fruit au sirop : pêche,IMPORT,Sec,Leader Price,0.82,Kilogramme,kg,3263852070615,271,2018-02-19 00:00:00.000,0,,,LEADER PRICE BOURAIL,524637002.0,PHYSIQUE,,route,territoriale 1,,,,Bourail,165.498621,-21.582622
3454,54796,eau de source Mont-Dore pétillante bouteille 50 cl,boisson,boisson sans alcool,eau,eau gazeuse,eau gazeuse,LOCAL,Sec,,0.5,Litre,l,3034027802009,120,2018-09-24 00:00:00.000,0,N,A,CARREFOUR EXPRESS NAKUTAKOIN,832956004.0,PHYSIQUE,,route,de Nakutakoin - baie de nouré,,Baie des Citrons,,Dumbéa,166.415695,-22.173535
3455,54796,eau de source Mont-Dore pétillante bouteille 50 cl,boisson,boisson sans alcool,eau,eau gazeuse,eau gazeuse,LOCAL,Sec,,0.5,Litre,l,3034027802009,90,2019-12-24 00:00:00.000,0,N,A,KORAIL P.D.F,1239045001.0,PHYSIQUE,390 BIS,avenue,des 2 baies,centre commercial les 2 baies,,,Mont-Dore,166.49,-22.221
3456,212081,cacahuète Benenuts twinuts barbecue paquet 150 g,épicerie salée,produit apéritif,produit apéritif,cacahuète et fruit sec,cacahuète,IMPORT,Sec,Benenuts,0.15,Kilogramme,kg,3168930006176,175,2020-05-12 00:00:00.000,0,N,A,DISCOUNT TEARI,710921003.0,PHYSIQUE,254,lot,Green Acre,,,,Koné,164.869635,-21.071729
3457,195163,thé vert Carrefour menthe intense sachet x25,épicerie sucrée,"café, thé, boisson chaude","thé, infusion",thé,thé vert,IMPORT,Sec,Carrefour,25.0,Unité,u,3560070830381,290,2022-03-30 00:00:00.000,0,N,A,CARREFOUR EXPRESS SIB DUCOS,832956003.0,PHYSIQUE,59,route,de la baie des Dames,,Ducos,,Nouméa,166.442932,-22.235328
3458,200483,biscuit cookie Tous Les Jours tout choco pépite de chocolat paquet 200 g,épicerie sucrée,"biscuit et gâteau, barre de céréales","biscuit fourré, nappé","biscuit fourré, nappé","biscuit fourré, nappé : cookie",IMPORT,Sec,Tous Les Jours,0.2,Kilogramme,kg,3700311810721,230,2022-08-16 00:00:00.000,0,N,A,CASINO MONT DORE,428367002.0,PHYSIQUE,23,route,du Sud - Centre commercial de la Coulée,,Centre-Ville,,Mont-Dore,166.586133,-22.238509
3459,54796,eau de source Mont-Dore pétillante bouteille 50 cl,boisson,boisson sans alcool,eau,eau gazeuse,eau gazeuse,LOCAL,Sec,,0.5,Litre,l,3034027802009,115,2023-02-01 00:00:00.000,0,N,T,LE PITCHOUNET,665117001.0,PHYSIQUE,16 BIS,rue,Charleroi,,Vallée des Colons,,Nouméa,166.455344,-22.27182
