annee,mois,regroupement1,regroupement2,poids_enquete_kg,poids_mg_kg,valeur_tot_mg_fr,valeur_moy,besoin_marche_t,quotas_date_debut,quotas_date_fin,quotas_contingent_t,quotas_realise_t
2012,9,CHOUCHOUTE,TOTAL LEGUMES,6215.0,11946.0,1486580.0,124.4416541101624,6.0,,,,
2012,7,CHOUCHOUTE,TOTAL LEGUMES,5970.0,11314.59961,1264905.0,111.79405755392878,6.0,,,,
2012,12,CHOUCHOUTE,TOTAL LEGUMES,2560.0,5141.899902,583106.0,113.4028299098538,6.0,,,,
2012,1,CHOUCHOUTE,TOTAL LEGUMES,2460.0,1861.0,279000.0,149.91939817302526,6.0,,,,
2012,2,POMME LIANE,TOTAL FRUITS (HORS VANILLE),3030.0,506.5,146070.0,288.390918065153,0.4,,,,
2012,10,POMME LIANE,TOTAL FRUITS (HORS VANILLE),,53.5,12795.0,239.15887850467288,0.4,,,,
2012,5,POMME LIANE,TOTAL FRUITS (HORS VANILLE),1446.0,788.5999756,272880.0,346.0309516144499,0.4,,,,
2012,12,POMME LIANE,TOTAL FRUITS (HORS VANILLE),1980.0,57.0,20645.0,362.1929824561403,0.4,,,,
2012,2,OIGNONS VERT,TOTAL LEGUMES,1013.9,946.7000122,903630.0,954.5051107584638,,,,,
2012,6,OIGNONS VERT,TOTAL LEGUMES,1190.0,2290.800049,2093720.0,913.9688996051702,,,,,
2012,4,OIGNONS VERT,TOTAL LEGUMES,963.8000000000001,1478.900024,1388080.0,938.5894769584505,,,,,
2012,3,OIGNONS VERT,TOTAL LEGUMES,1023.0,1802.700073,1781100.0,988.0179330308376,,,,,
2012,5,AUTRES FRUITS,TOTAL FRUITS (HORS VANILLE),8701.0,12675.0,2169407.0,171.1563708086785,,,,,
2012,9,AUTRES FRUITS,TOTAL FRUITS (HORS VANILLE),,12030.100097999999,5316725.0,441.95185049905814,,,,,
2012,6,CHOU DE CHINE,TOTAL LEGUMES,55512.0,16910.5,5287095.0,312.6516069897401,50.0,,,,
2012,11,CHOU DE CHINE,TOTAL LEGUMES,52191.0,17180.0,2791790.0,162.5023282887078,50.0,,,,
2012,8,CHOU DE CHINE,TOTAL LEGUMES,73905.0,13723.700195000001,3739895.0,272.5136039741358,50.0,,,,
2012,3,CHOU DE CHINE,TOTAL LEGUMES,37373.0,8147.799805,2852120.0,350.0478740591737,50.0,,,,
2012,4,POMME CANELLE,TOTAL FRUITS (HORS VANILLE),515.0,77.0,43000.0,558.4415584415584,,,,,
2012,12,AUTRES LEGUMES,TOTAL LEGUMES,70411.7,25624.482344360003,7982810.0,311.5305859732629,,,,,
2012,1,AUTRES LEGUMES,TOTAL LEGUMES,48650.0,41830.0,13166875.0,314.77109729858955,,,,,
2012,9,BANANE DESSERT,TOTAL FRUITS (HORS VANILLE),60706.0,29901.76953,7587656.5,253.7527584241266,,,,,
2012,7,BANANE DESSERT,TOTAL FRUITS (HORS VANILLE),59162.6,34894.30859,9239558.0,264.78696307075904,,,,,
2012,8,BANANE DESSERT,TOTAL FRUITS (HORS VANILLE),67010.0,32626.0,8403000.0,257.55532397474406,,,,,
2012,4,BANANE DESSERT,TOTAL FRUITS (HORS VANILLE),98451.0,30571.0,7275857.0,237.99865885970365,,,,,
2012,3,CITRON ET LIME,TOTAL FRUITS (HORS VANILLE),24422.0,12716.4700012,2461094.5,193.5359812721421,15.0,,,,
2012,8,CITRON ET LIME,TOTAL FRUITS (HORS VANILLE),11565.0,6883.0600589999995,3324932.0,483.0601464318852,15.0,,,,
2012,12,CITRON ET LIME,TOTAL FRUITS (HORS VANILLE),32169.0,10934.6000368,4488200.0,410.4585430555416,15.0,,,,
2012,10,CITRON ET LIME,TOTAL FRUITS (HORS VANILLE),6459.5,2098.199951,1523125.0,725.9198530026083,15.0,,,,
2012,6,CITRON ET LIME,TOTAL FRUITS (HORS VANILLE),6910.0,10113.300049,2399886.0,237.29998995108429,15.0,,,,
2012,9,CITRON ET LIME,TOTAL FRUITS (HORS VANILLE),4471.0,3630.97998,1750412.0,482.077017676093,15.0,,,,
2012,1,CITRON ET LIME,TOTAL FRUITS (HORS VANILLE),52042.0,13075.0,4880865.0,373.29751434034415,15.0,,,,
2012,9,PATATES DOUCES,TOTAL LEGUMES,11000.0,15981.16,6410369.5,401.1204130363503,,,,,
2012,4,PATATES DOUCES,TOTAL LEGUMES,2980.0,2918.255005,1113641.7188,381.61220211802566,,,,,
2012,4,PERSIL CHINOIS,TOTAL LEGUMES,646.0,316.2000122,626520.0,1981.4040981241935,1.1,,,,
2012,12,PERSIL CHINOIS,TOTAL LEGUMES,1004.2,370.7000122,659930.0,1780.2265397389701,1.1,,,,
2012,3,PERSIL CHINOIS,TOTAL LEGUMES,612.0,623.0,1100230.0,1766.0192616372392,1.1,,,,
2012,8,PERSIL CHINOIS,TOTAL LEGUMES,1263.5,737.5500122,1246280.0,1689.7565987186897,1.1,,,,
2012,6,PERSIL CHINOIS,TOTAL LEGUMES,888.5,638.9000244,1153110.0,1804.8363686993155,1.1,,,,
2012,1,PERSIL FRANCAIS,TOTAL LEGUMES,707.0,771.0,1344740.0,1744.1504539559014,,,,,
2012,4,PERSIL FRANCAIS,TOTAL LEGUMES,553.8,172.75,393110.0,2275.6005788712014,,,,,
2012,9,PERSIL FRANCAIS,TOTAL LEGUMES,822.0,730.7000122,1272750.0,1741.8228804567689,,,,,
2012,7,PERSIL FRANCAIS,TOTAL LEGUMES,867.0,696.4500122,1234150.0,1772.058264600315,,,,,
2012,7,CHOU VERT ET BLANC,TOTAL LEGUMES,63803.0,25971.5,7250820.0,279.18372061683,80.0,,,,
2012,12,CHOU VERT ET BLANC,TOTAL LEGUMES,34513.0,41597.5,7008422.5,168.4818198209027,80.0,,,,
2012,8,CHOU VERT ET BLANC,TOTAL LEGUMES,79716.0,51071.5,5046980.0,98.82184780161147,80.0,,,,
2012,9,CHOU VERT ET BLANC,TOTAL LEGUMES,56850.0,91564.0,4490963.5,49.047262024376394,80.0,,,,
2012,11,HARICOT VERT ET BEURRE,TOTAL LEGUMES,,2261.5,1043870.0,461.5830201193898,12.0,,,,
2012,2,HARICOT VERT ET BEURRE,TOTAL LEGUMES,1035.0,4.0,1600.0,400.0,12.0,,,,
2012,4,HARICOT VERT ET BEURRE,TOTAL LEGUMES,1007.0,90.5,52250.0,577.3480662983426,12.0,,,,
