,CODE_PRODUIT,NOM,SECTEUR_CONSO,SOUS_SECTEUR_CONSO,FAMILLE_PRODUIT,SOUS_FAMILLE,CATEGORIE,DEPARTEMENT,MARQUE,CONDITIONNEMENT,COND_UNITE_LIBELLE_COURT,PRIX_RELEVE,DATE_RELEVE,PROMOTION,TOP_500,TYPE_RELEVE,RAISON_SOCIALE,TYPE_ADRESSE,QUARTIER,COMMUNE,LONGITUDE,LATITUDE
623,151561,sardine Founty à la tomate conserve 125 g,épicerie salée,conserves et bocaux,conserve de poisson,conserve de poisson,IMPORT,Sec,Founty,0.125,kg,120,2023-07-24 00:00:00.000,0,O,A,EXPRESS BOULOUPARIS,PHYSIQUE,,Boulouparis,,
624,177493,céréale Kellogg's coco pops paquet 400 g,épicerie sucrée,céréale petit déjeuner,céréale petit déjeuner,céréale petit déjeuner,IMPORT,Sec,,0.4,kg,650,2017-09-18 00:00:00.000,0,N,,KOUMAC DISCOUNT,PHYSIQUE,,Koumac,164.285567,-20.557718
625,43977,tomate Le Cabanon en dés 1/2 conserve 400 g,épicerie salée,conserves et bocaux,conserve de légume,conserve de légume,IMPORT,Sec,Le Cabanon,0.4,kg,155,2018-07-09 00:00:00.000,0,N,,GEANT SAINTE-MARIE,PHYSIQUE,Vallée des Colons,Nouméa,166.458795,-22.275366
626,138126,confiture fruits rouges Carrefour 4 fruits bocal 370 g,épicerie sucrée,"confiture, pâte à tartiner, miel",confiture,confiture aux fruits rouges,IMPORT,Sec,,0.37,kg,299,2022-06-01 00:00:00.000,0,N,A,CARREFOUR EXPRESS PAITA (ancien ARIZONA PAITA),PHYSIQUE,,Païta,166.367278,-22.129734
627,46635,luncheon meat poulet Zwan conserve 360 g,épicerie salée,conserves et bocaux,"conserve de viande, pâté, terrine, foie gras","conserve de pâté, terrine",IMPORT,Sec,Zwan,0.36,kg,325,2023-06-28 00:00:00.000,0,N,A,EXPRESS BOULOUPARIS,PHYSIQUE,,Boulouparis,,
628,46635,luncheon meat poulet Zwan conserve 360 g,épicerie salée,conserves et bocaux,"conserve de viande, pâté, terrine, foie gras","conserve de pâté, terrine",IMPORT,Sec,Zwan,0.36,kg,330,2023-08-22 00:00:00.000,0,N,A,LEADER PRICE PLEXUS (DUCOS),PHYSIQUE,Ducos,Nouméa,166.449361,-22.247222
629,45634,crackers shapes Arnott's chicken crimpy paquet 175 g,épicerie salée,produit apéritif,produit apéritif,biscuit apéritif,IMPORT,Sec,Arnott's,0.175,kg,350,2013-12-16 00:00:00.000,0,N,,CARREFOUR EXPRESS OUEMO,PHYSIQUE,Ouémo,Nouméa,166.477842,-22.27614
630,148689,thé noir Twinings darjeeling sachet x25,épicerie sucrée,"café, thé, boisson chaude","thé, infusion",thé,IMPORT,Sec,Twinings,25.0,u,395,2014-09-12 00:00:00.000,0,,,CASINO PORT PLAISANCE - SUPERMARCHE,PHYSIQUE,Baie des Citrons,Nouméa,166.439011,-22.290918
631,183567,yaourt nature Lait Délice pot 6 x 115 g,crémerie,yaourt,yaourt,yaourt laitier,LOCAL,Frais,,0.69,kg,523,2019-04-29 00:00:00.000,0,N,A,COTE D'ASIE,PHYSIQUE,Centre-Ville,Nouméa,166.442248,-22.272456
632,201377,pizza surgelée Mc Cain meatlovers family boîte 500 g,surgelés,"pizza, tarte, feuilleté, soufflé surgelé",pizza surgelée,pizza surgelée : viande,IMPORT,Surgelés,,0.5,kg,805,2020-06-09 00:00:00.000,0,N,A,POINDIMIE DISCOUNT,PHYSIQUE,,Poindimié,165.333178,-20.937187
633,183567,yaourt nature Lait Délice pot 6 x 115 g,crémerie,yaourt,yaourt,yaourt laitier,LOCAL,Frais,,0.69,kg,520,2021-03-10 00:00:00.000,0,N,A,CARREFOUR MARKET ROBINSON,PHYSIQUE,Centre-Ville,Mont-Dore,166.507959,-22.224536
634,228991,vinaigrette Kenko au sésame bouteille 20 cl,épicerie salée,"assaisonnement, condiment, aide culinaire","huile, vinaigre, vinaigrette, sauce salade",vinaigrette,IMPORT,Sec,,0.2,l,635,2023-06-07 00:00:00.000,0,N,A,CARREFOUR MARKET ALMA (ANCIEN CHAMPION),PHYSIQUE,Centre-Ville,Nouméa,166.439959,-22.269194
635,46293,chili con carne Mutular 4/4 conserve 840 g,épicerie salée,conserves et bocaux,conserve de plat cuisiné,conserve de plat cuisiné,LOCAL,Sec,Mutular,0.84,kg,535,2014-05-09 00:00:00.000,0,,,KORAIL VALLEE DES COLONS,PHYSIQUE,Vallée des Colons,Nouméa,166.454129,-22.270541
636,177669,génoise Balconi sweet roll cacao paquet 300 g,épicerie sucrée,"biscuit et gâteau, barre de céréales",gâteau,gâteau moelleux,IMPORT,Sec,,0.3,kg,270,2017-11-27 00:00:00.000,0,,,VIVAL KOUTIO,PHYSIQUE,,Dumbéa,166.47456,-22.208461
637,53717,jus de fruits Tropicana multivitaminés bouteille 20 cl,boisson,boisson sans alcool,jus de fruits et légumes,jus de fruits,IMPORT,Sec,Tropicana,0.2,l,140,2019-08-27 00:00:00.000,0,N,A,ARIZONA ROBINSON,PHYSIQUE,Robinson,Mont-Dore,166.512649,-22.224863
638,195846,gouda Paysan Breton vieux en tranche x10 barquette 160 g,crémerie,fromage,fromage,fromage : en tranche,IMPORT,Sec,Paysan Breton,0.16,kg,556,2019-08-27 00:00:00.000,0,N,A,CASINO LES HALLES MAGENTA,PHYSIQUE,Magenta,Nouméa,166.469413,-22.244837
