dt,AverageTemperature,Year,Month,Days delta,Season,MA,Season offset
1926-02-01,10.625,1926.0833333333333,2,5875,0,12.612,-1.987
1926-03-01,10.299,1926.1666666666667,3,5903,1,12.853333333333333,-2.554333333333334
1926-04-01,12.630999999999998,1926.25,4,5934,1,12.943333333333333,-0.3123333333333349
1926-05-01,13.656,1926.3333333333333,5,5964,1,12.846666666666664,0.8093333333333366
1926-06-01,16.219,1926.4166666666667,6,5995,2,12.693666666666667,3.525333333333334
1926-07-01,19.142,1926.5,7,6025,2,12.705583333333335,6.4364166666666645
1926-08-01,19.466,1926.5833333333333,8,6056,2,12.773083333333332,6.692916666666669
1926-09-01,18.48,1926.6666666666667,9,6087,3,13.056333333333333,5.4236666666666675
1926-10-01,13.671,1926.75,10,6117,3,13.055333333333332,0.6156666666666677
1926-11-01,10.966,1926.8333333333333,11,6148,3,13.282833333333334,-2.316833333333335
1926-12-01,5.909000000000002,1926.9166666666667,12,6178,0,13.182833333333333,-7.273833333333331
1927-01-01,7.215,1927.0,1,6209,0,13.189916666666667,-5.974916666666667
1927-02-01,7.577000000000001,1927.0833333333333,2,6240,0,12.935916666666666,-5.358916666666665
1927-03-01,10.417000000000002,1927.1666666666667,3,6268,1,12.945749999999999,-2.528749999999997
1927-04-01,12.341,1927.25,4,6299,1,12.921583333333333,-0.5805833333333332
1927-05-01,15.54,1927.3333333333333,5,6329,1,13.078583333333334,2.461416666666665
1927-06-01,17.102,1927.4166666666667,6,6360,2,13.152166666666666,3.949833333333334
1927-07-01,18.993,1927.5,7,6390,2,13.13975,5.853249999999999
1927-08-01,18.662,1927.5833333333333,8,6421,2,13.072750000000001,5.589249999999998
1927-09-01,16.472,1927.6666666666667,9,6452,3,12.905416666666667,3.566583333333334
1927-10-01,13.385000000000002,1927.75,10,6482,3,12.881583333333333,0.5034166666666682
1927-11-01,9.755,1927.8333333333333,11,6513,3,12.780666666666667,-3.025666666666666
1927-12-01,6.377999999999999,1927.9166666666667,12,6543,0,12.81975,-6.441750000000002
1928-01-01,7.862999999999999,1928.0,1,6574,0,12.873750000000001,-5.0107500000000025
1928-02-01,9.07,1928.0833333333333,2,6605,0,12.998166666666668,-3.9281666666666677
1928-03-01,9.986,1928.1666666666667,3,6634,1,12.96225,-2.9762499999999985
1928-04-01,11.701,1928.25,4,6665,1,12.908916666666665,-1.207916666666664
1928-05-01,13.737,1928.3333333333333,5,6695,1,12.758666666666668,0.9783333333333317
1928-06-01,17.499000000000002,1928.4166666666667,6,6726,2,12.79175,4.707250000000002
1928-07-01,21.27,1928.5,7,6756,2,12.981500000000002,8.288499999999997
1928-08-01,20.059,1928.5833333333333,8,6787,2,13.097916666666668,6.961083333333333
1928-09-01,17.159000000000002,1928.6666666666667,9,6818,3,13.155166666666666,4.003833333333336
1928-10-01,13.493,1928.75,10,6848,3,13.164166666666667,0.32883333333333375
1928-11-01,10.836,1928.8333333333333,11,6879,3,13.25425,-2.4182500000000005
1928-12-01,6.885000000000002,1928.9166666666667,12,6909,0,13.2965,-6.411499999999998
1929-01-01,4.066000000000002,1929.0,1,6940,0,12.980083333333333,-8.91408333333333
1929-02-01,3.858000000000001,1929.0833333333333,2,6971,0,12.54575,-8.68775
1929-03-01,9.654000000000002,1929.1666666666667,3,6999,1,12.518083333333335,-2.8640833333333333
